,decyear,east(m),north(m),up(m)
446,2021.2676,0.709746,0.958892,0.125064
447,2021.2704,0.708834,0.959058,0.125484
448,2021.2731,0.70827,0.958284,0.12684
449,2021.2758,0.708537,0.96012,0.124843
450,2021.2786,0.710273,0.959397,0.120786
451,2021.2813,0.709864,0.961647,0.126624
452,2021.2841,0.709316,0.959069,0.124363
453,2021.2868,0.710573,0.959044,0.121318
454,2021.2895,0.707866,0.959116,0.123231
455,2021.2923,0.707591,0.960082,0.112961
456,2021.295,0.707938,0.960109,0.117325
457,2021.2977,0.707543,0.961914,0.117823
458,2021.3005,0.708854,0.959561,0.118607
459,2021.3032,0.708185,0.958661,0.117774
460,2021.306,0.707328,0.959761,0.122227
461,2021.3087,0.707038,0.959613,0.118777
462,2021.3114,0.709025,0.957428,0.122153
463,2021.3142,0.709709,0.958075,0.119781
464,2021.3169,0.708872,0.957857,0.122519
465,2021.3196,0.708139,0.959946,0.117346
466,2021.3224,0.707299,0.959471,0.116166
467,2021.3251,0.70887,0.960188,0.113056
468,2021.3279,0.707829,0.960047,0.111089
469,2021.3306,0.708157,0.960263,0.113813
470,2021.3333,0.706704,0.960392,0.11747
471,2021.3361,0.705897,0.959608,0.108237
472,2021.3388,0.704798,0.959876,0.108822
473,2021.3415,0.70496,0.958722,0.103552
474,2021.3443,0.707056,0.960854,0.107831
475,2021.347,0.706969,0.961547,0.108877
476,2021.3498,0.707025,0.961495,0.106816
477,2021.3525,0.705893,0.96164,0.107038
478,2021.3552,0.705904,0.961042,0.109957
479,2021.358,0.706887,0.960416,0.10846
480,2021.3607,0.706443,0.962041,0.104614
481,2021.3634,0.705351,0.960599,0.103446
482,2021.3662,0.706127,0.961608,0.103083
483,2021.3689,0.705322,0.9602,0.101218
484,2021.3717,0.70673,0.959763,0.104125
485,2021.3744,0.704195,0.960628,0.103338
486,2021.3771,0.70499,0.959428,0.104817
487,2021.3799,0.704473,0.960166,0.105391
488,2021.3826,0.704811,0.962032,0.104767
489,2021.3854,0.70545,0.960753,0.105583
490,2021.3881,0.705972,0.959932,0.101704
491,2021.3908,0.705857,0.961884,0.100885
492,2021.3936,0.706679,0.962707,0.100057
493,2021.3963,0.705726,0.961969,0.09825
494,2021.399,0.706319,0.962004,0.095883
495,2021.4018,0.706214,0.96258,0.093253
496,2021.4045,0.707107,0.962752,0.092599
497,2021.4073,0.707523,0.963199,0.09428
498,2021.41,0.708831,0.963569,0.098733
499,2021.4127,0.709236,0.96276,0.09066
500,2021.4155,0.708774,0.962157,0.094297
501,2021.4182,0.7094,0.962306,0.090304
502,2021.4209,0.708347,0.96325,0.092967
503,2021.4237,0.707439,0.96157,0.091333
504,2021.4264,0.707933,0.961435,0.086123
505,2021.4292,0.707229,0.961521,0.088138
506,2021.4319,0.706843,0.961823,0.085504
507,2021.4346,0.706943,0.962589,0.084456
508,2021.4374,0.706488,0.96198,0.086369
509,2021.4401,0.707128,0.963012,0.084455
510,2021.4428,0.70651,0.962629,0.08462
511,2021.4456,0.706859,0.963135,0.083528
512,2021.4483,0.705411,0.963894,0.083599
513,2021.4511,0.704848,0.963727,0.08291
514,2021.4538,0.705409,0.962573,0.080843
515,2021.4565,0.704441,0.964751,0.080325
516,2021.4593,0.703835,0.963378,0.080789
517,2021.462,0.704063,0.963168,0.079259
518,2021.4648,0.702173,0.962383,0.073649
519,2021.4675,0.702413,0.96312,0.074256
520,2021.4702,0.703372,0.962515,0.069819
521,2021.473,0.705537,0.961012,0.076552
522,2021.4757,0.70588,0.96066,0.071437
523,2021.4784,0.705489,0.961401,0.070631
524,2021.4812,0.703813,0.960932,0.069315
525,2021.4839,0.704612,0.960918,0.07097
526,2021.4867,0.705782,0.96097,0.067124
527,2021.4894,0.706325,0.962341,0.06874
528,2021.4921,0.706346,0.962687,0.068276
529,2021.4949,0.706196,0.960904,0.07159
530,2021.4976,0.704795,0.961656,0.064901
531,2021.5003,0.704828,0.961064,0.065755
532,2021.5031,0.705574,0.961046,0.062288
533,2021.5058,0.707351,0.962032,0.063673
534,2021.5086,0.707501,0.962799,0.065175
535,2021.5113,0.707063,0.963176,0.062949
536,2021.514,0.707784,0.96215,0.061997
537,2021.5168,0.707798,0.961911,0.061877
538,2021.5195,0.708024,0.963136,0.06317
539,2021.5222,0.707106,0.961827,0.057754
540,2021.525,0.708356,0.963232,0.059357
541,2021.5277,0.708536,0.962412,0.057336
